Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/28 Real (R$),Mai/28 Real (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$),Abr/28 Prob (R$),Mai/28 Prob (R$)
Arca,https://app.hubspot.com/contacts/44715285/deal/56645838108,Vendas,Ganho,Juliana Dalberto,Saúde,3,3,3189.16,10141.5288,Corretagem,Sim,Sim,100,,01/04/2026,113,3189,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,,,3189,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,,
PRISCILA FREIRE GARCIA CAVINATTI 27255683827,https://app.hubspot.com/contacts/44715285/deal/56709215363,Vendas,Implantação,Rafael Leite,Saúde,3,3,1921.47,6110.2746,Corretagem,Sim,Não,85,Q2,30/06/2026,112,1921,1921,1921,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,1633,1633,1633,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Studio - Galeria,https://app.hubspot.com/contacts/44715285/deal/56770261794,Vendas,Implantação,Juliana Dalberto,"Odonto;Saúde;Vida",67,150,34699.59,110344.6962,Corretagem,Sim,Sim,100,Q2,30/06/2026,112,34700,34700,34700,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,34700,34700,34700,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694
Grupo Recovery,https://app.hubspot.com/contacts/44715285/deal/57093521809,Vendas,Implantação,Rafael Leite,"Odonto;Saúde;Vida",381,355,440000,660000,Corretagem,Sim,Sim,85,Q3,30/09/2026,105,,,,418000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,,,,355300,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700
Schmidt Agrícola,https://app.hubspot.com/contacts/44715285/deal/57447731219,Vendas,Implantação,Ágatta Marinho,Gestão de saúde,280,280,80000,960000,Fee por vida,,,90,,30/09/2026,101,,,,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,,,,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
CBSI - Companhia Brasileira de Serviços de Infraestrutura,https://app.hubspot.com/contacts/44715285/deal/57553715563,Vendas,Consultoria,Fausto Haderspeck,"Gestão de saúde;Saúde",128,5374,48963,587556,Fee por vida,Não,Não,30,Q4,30/10/2026,100,,,,,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,48963,,,,,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689,14689
APS - Grupo Cosan,https://app.hubspot.com/contacts/44715285/deal/57601622647,Bid,Proposta Enviada,Ágatta Marinho,Gestão de saúde,40000,55000,396672,4760064,Fee por vida,Não,Não,60,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mansão Green,https://app.hubspot.com/contacts/44715285/deal/57668941205,Vendas,Negociação,Fausto Haderspeck,Saúde,98,128,26505,84285.9,Corretagem,Sim,Sim,75,Q3,30/09/2026,98,,,,26505,26505,26505,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,,,,19879,19879,19879,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
RSP SERVICOS ADMINISTRATIVOS,https://app.hubspot.com/contacts/44715285/deal/57865582975,Vendas,Implantação,Ágatta Marinho,Saúde,4,1,2431.89,7733.4102,Corretagem,Sim,Sim,100,Q2,30/06/2026,94,2432,2432,2432,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,2432,2432,2432,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
W OLIVEIRA SERVICOS ADMINISTRATIVOS LTDA,https://app.hubspot.com/contacts/44715285/deal/57856234593,Vendas,Cotação,Juliana Dalberto,Saúde,6,1,2684,8535.12,Corretagem,Sim,Sim,5,Q4,31/12/2026,93,,,,,,,2684,2684,2684,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,,,,,,,134,134,134,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
