Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/28 Real (R$),Mai/28 Real (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$),Abr/28 Prob (R$),Mai/28 Prob (R$)
Fundação Lemann,https://app.hubspot.com/contacts/44715285/deal/59963608162,Vendas,Cotação,Juliana Dalberto,"Saúde;Vida;Odonto",300,70,210,126,Corretagem,Não,Não,5,Q3,31/10/2026,39,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ban Ban Calçados,https://app.hubspot.com/contacts/44715285/deal/59915282084,Vendas,Consultoria,André Pontes,Gestão de saúde,660,660,5275.66,63307.92,Fee por vida,Não,Não,10,Q3,01/08/2026,39,,,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,5276,,,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
Queiroz Agro,https://app.hubspot.com/contacts/44715285/deal/59963204131,Vendas,Cotação,Rafael Leite,"Odonto;Saúde;Vida",226,226,,,Corretagem,Sim,Sim,60,Q3,30/09/2026,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto e Amanda - Cotação pessoa física,https://app.hubspot.com/contacts/44715285/deal/59915112083,Vendas,Consultoria,Juliana Dalberto,"Saúde;Vida;Odonto",2,2,5224.36,16613.4648,Corretagem,Sim,Sim,10,Q3,31/07/2026,39,,5224,5224,5224,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,522,522,522,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sommus Ocupacional,https://app.hubspot.com/contacts/44715285/deal/60073037437,Vendas,Cotação,Juliana Dalberto,,47,90,,,Corretagem,Sim,Sim,1,Q3,28/08/2026,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dafiti,https://app.hubspot.com/contacts/44715285/deal/60076928395,Vendas,Consultoria,Rafael Leite,Gestão de saúde,2000,1046,41120,493440,Fee por vida,Sim,Sim,50,Q1 2027,01/02/2027,36,,,,,,,,,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,41120,,,,,,,,,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560,20560
Escola Korú,https://app.hubspot.com/contacts/44715285/deal/60076931668,Vendas,Cotação,Rafael Leite,,33,33,,,Corretagem,Sim,Sim,60,Q3,29/09/2026,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotum,https://app.hubspot.com/contacts/44715285/deal/60076943167,Vendas,Cotação,Juliana Dalberto,"Saúde;Odonto;Vida",28,28,,,Corretagem,Sim,Sim,60,Q3,30/10/2026,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Bank,https://app.hubspot.com/contacts/44715285/deal/60078280233,Vendas,Negociação,Rafael Leite,Saúde,100,100,48000,11520,Corretagem,Não,Sim,85,Q3,30/09/2026,36,,,,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,,,,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816
Flowscience Instruments,https://app.hubspot.com/contacts/44715285/deal/60079678641,Vendas,Cotação,Guilherme Gabiatti,"Gestão de saúde;Saúde;Odonto",40,26,30000,95400,Corretagem,Sim,Sim,20,Q2,30/09/2026,36,,,,30000,30000,30000,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,,,,6000,6000,6000,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Skelt,https://app.hubspot.com/contacts/44715285/deal/60078282842,Vendas,Consultoria,Juliana Dalberto,Gestão de saúde,800,507,9379.5,112554,Fee por vida,Não,Não,5,Q3,30/11/2026,36,,,,,,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,9380,,,,,,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469
Extra Consult,https://app.hubspot.com/contacts/44715285/deal/60142160659,Vendas,Cotação,Juliana Dalberto,"Odonto;Saúde;Vida",368,1500,144000,86400,Corretagem,Não,Sim,5,Q3,30/11/2026,36,,,,,,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,,,,,,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
Datacube,https://app.hubspot.com/contacts/44715285/deal/60108262946,Vendas,Implantação,Rafael Leite,Saúde,28,19,25000,79500,Corretagem,Sim,Sim,90,Q2,31/07/2026,35,,25000,25000,25000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,22500,22500,22500,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
Economart Atacadista - Rh Summit,https://app.hubspot.com/contacts/44715285/deal/60108264309,Vendas,Cotação,Rafael Leite,"Gestão de saúde;Saúde;Odonto",1000,4400,,,Corretagem,Sim,Sim,50,Q3,30/11/2026,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circuit,https://app.hubspot.com/contacts/44715285/deal/60083608929,Vendas,Consultoria,Fausto Haderspeck,"Saúde;Odonto",20,20,14144,44977.92,Corretagem,Sim,Não,50,Q3,01/07/2026,35,,14144,14144,14144,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,,7072,7072,7072,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
Claudster,https://app.hubspot.com/contacts/44715285/deal/60142225567,Vendas,Consultoria,Juliana Dalberto,Saúde,34,30,2000,24000,Fee por vida,Não,Não,5,Q4,31/03/2027,35,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fernanda de Bessa Amaral Marinho,https://app.hubspot.com/contacts/44715285/deal/60177473299,Vendas,Consultoria,Guilherme Gabiatti,Saúde,3,3,10809,34372.62,Corretagem,Sim,Sim,40,Q3,01/08/2026,32,,,10809,10809,10809,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,,,4324,4324,4324,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Ultrafarma - Novo(a) Deal corretagem,https://app.hubspot.com/contacts/44715285/deal/60177569543,Vendas,Consultoria,Juliana Dalberto,Saúde,2400,1500,840000,504000,Corretagem,Não,Sim,5,Q3,30/10/2026,31,,,,,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,,,,,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Pier Seguradora,https://app.hubspot.com/contacts/44715285/deal/60254131370,Vendas,Cotação,André Pontes,Saúde,334,250,,,Corretagem,Sim,Sim,15,Q3,30/10/2026,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Digital,https://app.hubspot.com/contacts/44715285/deal/60324987524,Vendas,Cotação,Fausto Haderspeck,"Gestão de saúde;Saúde",1700,1700,,,Corretagem,Não,Não,30,Q3,30/09/2026,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trace Finance,https://app.hubspot.com/contacts/44715285/deal/60329014812,Vendas,Implantação,Guilherme Gabiatti,"Gestão de saúde;Saúde;Odonto;Vida",80,50,79730,19135.2,Corretagem,Não,Sim,100,Q2,01/10/2026,25,,,,,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,,,,,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
The Fini Company BR,https://app.hubspot.com/contacts/44715285/deal/60347162187,Bid,Standby,Ágatta Marinho,,5200,2200,,,Corretagem,Não,Sim,60,Q4 2027,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS Limp,https://app.hubspot.com/contacts/44715285/deal/60623339045,Vendas,Cotação,Fausto Haderspeck,"Saúde;Odonto",7,7,,,Corretagem,Sim,Sim,50,Q3,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELUCIDATA CONSULTORIA EM TECNOLOGIA LTDA,https://app.hubspot.com/contacts/44715285/deal/60644305846,Vendas,Cotação,Fausto Haderspeck,"Saúde;Odonto",3,3,,,Corretagem,Não,Sim,50,Q1 2027,28/02/2027,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSI - PME,https://app.hubspot.com/contacts/44715285/deal/60644327327,Vendas,Cotação,Fausto Haderspeck,,128,128,,,Corretagem,Sim,Sim,10,Q3,30/09/2026,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cappta,https://app.hubspot.com/contacts/44715285/deal/60650549093,Vendas,Consultoria,Juliana Dalberto,"Odonto;Saúde;Vida",155,170,103417.37,328867.2366,Corretagem,Sim,Sim,5,Q3,30/09/2026,17,,,,103417,103417,103417,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,,,,5171,5171,5171,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
Ultrafarma - Novo(a) Deal fee por vida,https://app.hubspot.com/contacts/44715285/deal/60667740065,Vendas,Consultoria,Juliana Dalberto,Gestão de saúde,2400,1500,25000,300000,Fee por vida,Não,Não,5,Q3,31/01/2027,16,,,,,,,,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
Grupo Massa - Novo(a) Deal fee por vida,https://app.hubspot.com/contacts/44715285/deal/60670252163,Vendas,Consultoria,Juliana Dalberto,Gestão de saúde,600,600,5610,67320,Fee por vida,Não,Não,10,Q4,28/02/2027,16,,,,,,,,,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,5610,,,,,,,,,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561
Sipolatti,https://app.hubspot.com/contacts/44715285/deal/60074222089,Vendas,Implantação,Ágatta Marinho,"Saúde;Odonto",1123,1123,171000,256500,Corretagem,Sim,Sim,50,Q2,01/09/2026,11,,,,162450,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,8550,,,,81225,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275
Arizona,https://app.hubspot.com/contacts/44715285/deal/60785734467,Vendas,Cotação,André Pontes,Gestão de saúde,684,500,8208,98496,Fee por vida,Não,Não,10,Q3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trace Finance - Com AG,https://app.hubspot.com/contacts/44715285/deal/60785830719,Vendas,Implantação,Guilherme Gabiatti,Gestão de saúde,80,50,79730,253541.4,Corretagem,Sim,Sim,90,Q2,02/11/2026,10,,,,,,79730,79730,79730,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,,,,,,71757,71757,71757,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436
Baramaia serviços,https://app.hubspot.com/contacts/44715285/deal/60083599477,Vendas,Implantação,Guilherme Gabiatti,"Gestão de saúde;Odonto;Saúde",110,100,36000,114480,Corretagem,Sim,Sim,90,Q3,10/09/2026,3,,,,36000,36000,36000,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,,,,32400,32400,32400,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648
